Playing Time,Performance,Expected,Progression,Per 90 Minutes,,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,32-353,1991,1,0,21,0.2,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,0,0,1,0.00,0.00,0.00,0.00,0.00,1.96,0.21,2.17,1.96,2.17,Matches,,,,,,,
Jordan Ayew,gh GHA,FW,Leicester City,32-353,1991,1,0,28,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,1,0.00,0.00,0.00,0.00,0.00,0.29,0.13,0.42,0.29,0.42,Matches,,,,,,,
Leon Bailey,jm JAM,"MF,FW",Aston Villa,27-020,1997,2,2,163,1.8,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.4,6,5,8,0.00,0.00,0.00,0.00,0.00,0.14,0.06,0.20,0.14,0.20,Matches,,,,,,,
Carlos Baleba,cm CMR,MF,Brighton,20-239,2004,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
Ross Barkley,eng ENG,MF,Aston Villa,30-268,1993,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Matches,,,,,,,
Harvey Barnes,eng ENG,FW,Newcastle Utd,26-264,1997,2,0,54,0.6,0,1,1,0,0,0,0,0,0.2,0.2,0.8,0.9,3,2,9,0.00,1.67,1.67,0.00,1.67,0.27,1.27,1.53,0.27,1.53,Matches,,,,,,,
Calvin Bassey,ng NGA,DF,Fulham,24-242,1999,2,2,180,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,8,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches,,,,,,,
Jan Bednarek,pl POL,DF,Southampton,28-139,1996,2,2,170,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,10,1,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches,,,,,,,
Jean-Ricner Bellegarde,fr FRA,"FW,MF",Wolves,26-063,1998,2,2,123,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,3,7,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches,,,,,,,
Rodrigo Bentancur,uy URU,MF,Tottenham,27-065,1997,1,1,77,0.9,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,2,4,2,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.30,0.30,0.30,Matches,,,,,,,
Lucas Bergvall,se SWE,MF,Tottenham,18-209,2006,2,0,25,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0,2,1,0.00,0.00,0.00,0.00,0.00,0.20,0.69,0.90,0.20,0.90,Matches,,,,,,,
Victor Bernth Kristiansen,dk DEN,"DF,MF",Leicester City,21-257,2002,2,2,174,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,3,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
Beto,gw GNB,FW,Everton,26-211,1998,2,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
Philip Billing,dk DEN,MF,Bournemouth,28-079,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
Yves Bissouma,ml MLI,MF,Tottenham,27-365,1996,1,1,72,0.8,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,1,6,0,1.25,0.00,1.25,1.25,1.25,0.12,0.00,0.12,0.12,0.12,Matches,,,,,,,
Willy Boly,ci CIV,DF,Nott'ham Forest,33-208,1991,2,1,91,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,,,,,,,
Jarrod Bowen,eng ENG,MF,West Ham,27-253,1996,2,2,162,1.8,1,0,1,1,0,0,0,0,0.1,0.1,0.5,0.6,3,4,10,0.56,0.00,0.56,0.56,0.56,0.06,0.25,0.31,0.06,0.31,Matches,,,,,,,
Conor Bradley,nir NIR,DF,Liverpool,21-051,2003,2,0,33,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,2,1,0.00,0.00,0.00,0.00,0.00,0.63,0.00,0.63,0.63,0.63,Matches,,,,,,,
Ben Brereton,cl CHI,FW,Southampton,25-133,1999,2,2,160,1.8,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,4,2,18,0.00,0.00,0.00,0.00,0.00,0.17,0.06,0.23,0.17,0.23,Matches,,,,,,,
Facundo Buonanotte,ar ARG,"MF,FW",Leicester City,19-250,2004,2,2,148,1.6,0,1,1,0,0,0,0,0,0.0,0.0,0.6,0.6,2,6,5,0.00,0.61,0.61,0.00,0.61,0.00,0.37,0.37,0.00,0.37,Matches,,,,,,,
Dan Burn,eng ENG,DF,Newcastle Utd,32-112,1992,2,2,180,2.0,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,0,2,0,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Matches,,,,,,,
Wes Burns,wls WAL,FW,Ipswich Town,29-280,1994,1,1,56,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
Moisés Caicedo,ec ECU,MF,Chelsea,22-301,2001,2,2,165,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,1,6,1,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,Matches,,,,,,,
Tom Cairney,sct SCO,MF,Fulham,33-222,1991,2,0,49,0.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Matches,,,,,,,
